time,activity,lifecycle,payload
2022/08/01 12:13:43.225182008,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:43.724626941,WEED_FOUND,START,
2022/08/01 12:13:43.724688656,WEED_FOUND,STOP,
2022/08/01 12:13:43.724712171,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:43.724735733,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:44.223986218,WEED_FOUND,START,
2022/08/01 12:13:44.224012997,WEED_FOUND,STOP,
2022/08/01 12:13:44.224036878,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:44.224086872,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:44.725541169,WEED_FOUND,START,
2022/08/01 12:13:44.725581269,WEED_FOUND,STOP,
2022/08/01 12:13:44.725617261,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:44.725651076,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:45.225537950,WEED_FOUND,START,
2022/08/01 12:13:45.225567088,WEED_FOUND,STOP,
2022/08/01 12:13:45.225590804,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:45.225613515,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:45.724097550,WEED_FOUND,START,
2022/08/01 12:13:45.724130979,WEED_FOUND,STOP,
2022/08/01 12:13:45.724155072,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:45.724177478,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:46.224866796,WEED_FOUND,START,
2022/08/01 12:13:46.225001782,WEED_FOUND,STOP,
2022/08/01 12:13:46.225101604,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:46.225163704,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:46.724051460,WEED_FOUND,START,
2022/08/01 12:13:46.724076634,WEED_FOUND,STOP,
2022/08/01 12:13:46.724099548,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:46.724145101,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:47.232372728,WEED_FOUND,START,
2022/08/01 12:13:47.232458378,WEED_FOUND,STOP,
